Tf_name	AUC	AUPRC	pwm_score	kmer_score	max_kmer_score	Roll_shape	ProT_shape	MGW_shape	HelT_shape	max_kmer_score_pos	dn_hg_score	dn_hg_score2	dnase	
Ap2	0.963312093467	0.961249496409	0.128505447538	0.555311297813	0.83264440124	0.583816820508	0.690391877458	0.61543407947	0.335012985565	0.735638915265	0.379098841749	0.401589110449	0.768382748196	
Arid3a	0.867585397139	0.860295057934	0.455516756431	0.519892338398	0.594941183818	0.549205897571	0.482149754967	0.536093542749	0.48845450896	0.586973398824	0.409711933887	0.456877425237	0.816356691559	
Egr1	0.873035608056	0.892231696132	0.185933967876	0.716694873071	0.797051864172	0.564504364506	0.625324515291	0.581739792883	0.412668540349	0.773497796501	0.275716349598	0.409786448785	0.741285556459	
Elk1	0.95432477683	0.959758062677	0.095060662567	0.908821265622	0.91253370363	0.52268184884	0.573933425908	0.539146042452	0.514139575481	0.883708946638	0.236039992065	0.40207165245	0.78268422932	
Elk4	0.941570973729	0.949533076345	0.10132259597	0.919238839256	0.913568942703	0.495259390644	0.548793951071	0.50778804754	0.550158265243	0.888158478782	0.240467495792	0.415028329988	0.780694969463	
Ets1	0.891417753755	0.882629836845	0.351773921188	0.652973389671	0.698314101942	0.528560136456	0.532782615405	0.531234432387	0.511713601076	0.675225053683	0.274690123382	0.400156240611	0.805915666339	
Gabp	0.911341459259	0.921375766314	0.155178068305	0.799336790216	0.843975255015	0.529456050544	0.540100393402	0.531735924495	0.520527612217	0.814266730231	0.254808038956	0.408433042721	0.750473384446	
Gata3	0.883028759556	0.885884618512	0.340967990154	0.617739036989	0.7536671191	0.540947855406	0.546881292109	0.542426681947	0.450444540008	0.721936587362	0.364963442342	0.430933761083	0.772724982055	
Gr	0.752218875839	0.685865320726	0.532071305106	0.598656062514	0.586056624643	0.476610565528	0.531101800823	0.481435869935	0.476474294825	0.583639663106	0.408906913607	0.456814444886	0.744775220375	
Hnf4a	0.969546482268	0.971171534251	0.0950347923261	0.758615068104	0.838189792257	0.398850442933	0.497113349356	0.441047590249	0.571347504269	0.814578994323	0.335503978699	0.418703006922	0.779471644332	
Irf3	0.917613528798	0.880057454963	0.471838524582	0.563188203262	0.533809948334	0.564270741186	0.447879843454	0.546433820619	0.484341923648	0.519795470895	0.409192450804	0.444284578395	0.859982583015	
Jund	0.88217534521	0.894373824601	0.385307883259	0.443455575094	0.67816202304	0.522029327786	0.60528923807	0.563553699973	0.412468074683	0.649773223315	0.333539697802	0.391992951387	0.784483692771	
Mafk	0.961374760852	0.957683216173	0.0546062372912	0.607112998526	0.821937120502	0.614800174484	0.61977496706	0.617008660045	0.390749760664	0.598837027698	0.487245941384	0.487205798592	0.634758731483	
Max	0.905143206816	0.896005906705	0.260517672988	0.664677759975	0.795432798988	0.670188670564	0.572317114481	0.66570851313	0.442050223797	0.768435046592	0.293177985343	0.390017180824	0.789238269125	
Pou2f2	0.918367174761	0.915996778516	0.351364824452	0.56247639706	0.612496429875	0.576474942992	0.533952628865	0.567318904789	0.484780753204	0.59579317355	0.3500426468	0.437468233193	0.749673696078	
Rxra	0.69248052777	0.670732749945	0.223671766696	0.695616302996	0.76521700109	0.472748655443	0.526959646355	0.495506486589	0.517892674357	0.739770993835	0.380246819389	0.45425467133	0.784924373584	
Sp1	0.866968195261	0.841735139865	0.35464454413	0.555280593923	0.569149154898	0.523901110284	0.561172544195	0.53109064357	0.458457986404	0.561359785385	0.357720473754	0.443052676979	0.826774433327	
Srf	0.94098367707	0.944044297932	0.186516828082	0.468041848638	0.635066540095	0.581274044762	0.570700351506	0.564619265018	0.452591682688	0.591665683036	0.378923184802	0.459110651417	0.744848944381	
Tbp	0.602266838522	0.585583661073	0.58564462291	0.285168880957	0.312249652984	0.489667691189	0.645679324476	0.525737656157	0.410691470024	0.323057538502	0.335580920748	0.390747488268	0.705699401811	
Tcf7l2	0.823875994513	0.839411614214	0.236175171468	0.536960219479	0.766215706447	0.505995130316	0.5481718107	0.481872770919	0.491126680384	0.7281239369	0.408408504801	0.460245404664	0.711600274348	
